Doc ID,Country,Year,Response,Health relevance (1/0),Health adaptation mandate (1/0),Institutional health role (1/0),Notes,Matched health keywords,Health keyword categories
national-implementation-of-the-eu-common-agricultural-policy-cap_f74c,Germany,2021.0,Mitigation,1,0,0,,HIV;TB;ill;mental,communicable_disease;mental_health
law-on-the-governance-of-federal-climate-policy_286e,Belgium,2024.0,Mitigation;Adaptation,1,1,0,,,
heat-planning-and-the-decarbonisation-of-heating-networks-act_cc9e,Germany,2023.0,Mitigation,1,0,0,,flood,environmental_health
climate-action-and-low-carbon-development-act-2021_8502,Ireland,2015.0,Adaptation;Mitigation,1,1,0,,flu;health;ill;mental;prion,communicable_disease;general_health;mental_health;pathogens_microbiology
federal-climate-protection-act_9fb8,Germany,2019.0,Mitigation,1,0,0,,flu;ill,communicable_disease
federal-climate-protection-act-2021-version-english-translation_f9a5,Germany,2019.0,Mitigation,1,1,0,,flu;ill;mental,communicable_disease;mental_health
energy-efficiency-act-enefg_407d,Germany,2023.0,Mitigation,1,0,0,,HIV;ill;mental,communicable_disease;mental_health
law-amending-the-regional-planning-act-and-other-regulations_79e3,Germany,2023.0,Mitigation,1,0,0,,HIV;ill;mental,communicable_disease;mental_health
maritime-area-planning-act-2021_7ac7,Ireland,2021.0,Adaptation,1,1,0,,AIDS;death;emergency;flu;health;ill;injury;mental;prion,communicable_disease;general_health;injury_trauma;mental_health;mortality_morbidity;pathogens_microbiology
future-ireland-fund-and-infrastructure-climate-and-nature-fund-act-2024_38a3,Ireland,2024.0,Mitigation;Adaptation,1,1,0,,anger;ill;mental;prion,communicable_disease;mental_health;pathogens_microbiology
federal-climate-change-act-2019-version_a2b0,Germany,2019.0,Mitigation,1,0,0,,flu;ill;mental,communicable_disease;mental_health
national-emissions-certificate-trading-act-2022_64bf,Austria,2022.0,Mitigation,1,0,0,,GP;TB;ill;mental,communicable_disease;general_health;mental_health
forest-fund-act_5811,Austria,2020.0,Mitigation;Loss And Damage,1,0,0,,GP;ill;mental,communicable_disease;general_health;mental_health
